id,subcategory,question_family,question,answer_type,answer_options,priority,requires_entities,stat_column,top_n_per_team,line,start_date_rule,expiration_date_rule,resolution_date_rule,_comment
MLB-001,MLB,event,Who will win {home_team} vs {away_team}?,multiple_choice,{home_team}||{away_team},1,false,,,,24 hours after event start,2 days after event start,January 15 of the event calendar year,Schedule-only game winner. Upload schedule.xlsx; no stats file required.
MLB-002,MLB,event,Will {home_team} beat {away_team}?,yes_no,Yes||No,2,false,,,,24 hours after event start,2 days after event start,January 15 of the event calendar year,Schedule-only yes/no — home team wins.
MLB-003,MLB,event,Will {home_team} vs {away_team} be decided by more than 2 runs?,yes_no,Yes||No,3,false,,,,24 hours after event start,2 days after event start,January 15 of the event calendar year,Schedule-only run-margin prop.
MLB-004,MLB,event,Will total runs in {home_team} vs {away_team} exceed {line}?,yes_no,Yes||No,4,false,,,8.5,24 hours after event start,2 days after event start,January 15 of the event calendar year,Schedule-only over/under; line=8.5 in template.
MLB-005,MLB,event,Will either team score in the first inning in {home_team} vs {away_team}?,yes_no,Yes||No,5,false,,,,24 hours after event start,2 days after event start,January 15 of the event calendar year,Schedule-only first-inning scoring prop.
MLB-006,MLB,entity_stat,Which player will hit a home run in {home_team} vs {away_team}?,multiple_choice,{entity_options},1,true,HR,2,,24 hours after event start,2 days after event start,January 15 of the event calendar year,Requires schedule + stats.xlsx. Top 2 HR hitters per team in answer list.
MLB-007,MLB,entity_stat,Which player will record an RBI in {home_team} vs {away_team}?,multiple_choice,{entity_options},2,true,RBI,2,,24 hours after event start,2 days after event start,January 15 of the event calendar year,Requires schedule + stats.xlsx. Top 2 RBI leaders per team.
MLB-008,MLB,entity_stat,Which player is most likely to steal a base in {home_team} vs {away_team}?,multiple_choice,{entity_options},3,true,SB,2,,24 hours after event start,2 days after event start,January 15 of the event calendar year,Requires schedule + stats.xlsx. Top 2 SB leaders per team.
MLB-009,MLB,entity_stat,Which player will contribute the most WAR in {home_team} vs {away_team}?,multiple_choice,{entity_options},4,true,WAR,2,,24 hours after event start,2 days after event start,January 15 of the event calendar year,Requires schedule + stats.xlsx. Top 2 WAR leaders per team.
MLB-010,MLB,event,Will {away_team} win on the road against {home_team}?,yes_no,Yes||No,6,false,,,,24 hours after event start,2 days after event start,January 15 of the event calendar year,Schedule-only road-win yes/no wording variant.
